Task;Frame;ActiveVelocityDistance;ActiveAccelerationX;ActiveAccelerationY;ActiveAccelerationZ;TriggerPressed;VelocityZero; CollidedControllerPosition; TriggeredControllerPosition; DistanceControllerPosition
2;82;0,03857292;0,4068107;0,4504151;1,079329;False;True;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;83;0,02569861;0,5022147;-0,7121739;1,191716;False;True;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;84;0,02943461;0,4245646;0,02085831;0,7840749;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;85;0,03059976;-0,1784528;-0,5373874;0,06288459;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;86;0,0323881;-0,2504349;-0,4228206;-0,2015442;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;87;0,02456385;-0,3217992;0,9004164;-0,03501082;False;True;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;88;0,01314615;-0,3783655;0,9790966;0,3954607;False;True;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;89;0,01588471;-0,4231389;0,8796605;-0,253;False;True;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;90;0,02141853;-0,3018425;0,4008867;-0,4601982;False;True;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;91;0,02505938;-0,4328291;-0,06531251;-0,2318811;False;True;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;92;0,02972998;-0,3121612;0,1953943;-0,3811544;False;True;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;93;0,03316433;-0,145106;-0,1866753;-0,2448658;False;True;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;94;0,03424579;-0,1026764;-0,04375146;-0,1205163;False;True;(0.0, 1.3, 0.2);(0.0, 1.4, 0.1);0,2056854;
2;95;0,02008743;0,7815202;-0,07901751;-0,382812;True;True;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0;
